Identification number,Name,Country,State/Province,Latitude Decimal degrees WGS 84,Longitude Decimal degrees WGS 84
1,Quebrada Del Gato,Argentina,San Juan,-31.43,-68.13
2,Undercliff,Australia,New South Wales,-28.66,152.21
3,Jack's Creek,Australia,Queensland,-20.67,147.87
4,Koppio-Uley mines,Australia,South Australia,-34.80,135.71
5,Munglinup River,Australia,Western Australia,-33.50,120.85
6,Doppl-Muehldorf-Zettlitz,Austria,Niederosterreich,48.38,15.45
7,Kaisersberg-Trieben,Austria,Steiermark,47.35,15.07
8,Itanhem,Brazil,Bahia,-17.10,-40.35
9,Itapacerica,Brazil,Minas Gerais,-20.43,-45.13
10,Pedra Azul,Brazil,Minas Gerais,-15.88,45.13
11,Bisset Creek,Canada,Ontario,46.23,-78.07
12,Coronation,Canada,Ontario,45.29,-77.94
13,Graphite Lake-Ryerson-Todd area,Canada,Ontario,45.73,-79.08
14,Kirkham-Portland-Timmins area,Canada,Ontario,44.56,-76.57
15,Tagliamonte,Canada,Ontario,46.23,-78.07
16,Graphex-Graphico-Orwell Mines,Canada,Quebec,46.14,-75.55
17,North American Mine,Canada,Quebec,45.52,-75.55
18,St-Amime-Lac Des Iles,Canada,Quebec,46.25,-75.53
19,Lac Knife,Canada,Quebec,52.55,-61.18
20,Pollon Lake area,Canada,Saskatchewan,56.38,-103.13
21,Haikou,China,Hainan,20.08,110.42
22,Heling,China,Heilongjiang [Heilungkiang],46.31,129.55
23,Jixi (Liu Mao),China,Heilongjiang [Heilungkiang],45.28,131.00
24,Liu Mao,China,Heilongjiang [Heilungkiang],45.30,131.07
25,Honan deposits,China,Henan [Honan],32.50,113.88
26,Hunan,China,Hunan,26.00,113.00
27,Panshi,China,Jilin [Kirin],42.93,125.97
28,Hohot,China,Nei Mongol (Inner Mongolia),40.81,111.62
29,Shandong Peninsula,China,Shandong [Shantung],37.03,120.32
30,Xing He,China,—,40.88,113.88
31,Kolledeye,Czech Republic,—,49.22,14.45
32,Velke Vbrno-Konstantin Vvk,Czech Republic,—,50.13,17.33
33,Kropfmühl-Cesky Krumlov,Germany and Czech Republic,"Bayern [Bavaria, Germany]",48.80,14.32
